match_id,year,date,cutoff_matches,beta_elo,home,away,actual_home_goal,actual_away_goal,home_elo,away_elo,elo_diff,elo_factor,lambda_home_base,lambda_away_base,lambda_home,lambda_away
J1_2024_265,2024,2024-08-17,17,0.15,川崎フロンターレ,横浜Ｆ・マリノス,1,3,1574.174,1612.831,-38.656999999999925,0.9856081915556011,2.414502362230276,1.4561494569580038,2.3797533067445094,1.4774120887324809
J1_2024_266,2024,2024-08-17,17,0.15,湘南ベルマーレ,柏レイソル,1,2,1488.84,1500.123,-11.28300000000013,0.9957778135981635,1.3787812732117255,1.2837594481753398,1.3729598016688642,1.2892027022941772
J1_2024_267,2024,2024-08-17,17,0.15,鹿島アントラーズ,浦和レッズ,0,0,1652.807,1598.71,54.09699999999998,1.0204935420231824,2.005266347915733,1.0546356529445136,2.0463613580844173,1.0334564693605435
J1_2024_268,2024,2024-08-17,17,0.15,ＦＣ東京,東京ヴェルディ,0,0,1567.879,1575.957,-8.078000000000202,0.9969753335483751,1.541081910436533,1.401451469530328,1.5364206516828296,1.4057032530006188
J1_2024_269,2024,2024-08-17,17,0.15,ＦＣ町田ゼルビア,ジュビロ磐田,4,0,1664.329,1544.156,120.173,1.0460957231674193,1.993197889589554,1.2937745615430332,2.0850757877259585,1.2367649851637668
J1_2024_270,2024,2024-08-24,17,0.15,ガンバ大阪,アビスパ福岡,2,2,1572.047,1576.151,-4.104000000000042,0.998462183653208,0.9073086485389577,0.8450025483907012,0.9059133744676487,0.8463040085293733
J1_2024_271,2024,2024-08-24,17,0.15,京都サンガF.C.,ＦＣ東京,3,0,1476.846,1567.879,-91.0329999999999,0.9664387309971554,1.0250426228408986,2.3854462658530333,0.9906408916363538,2.468285044197028
J1_2024_272,2024,2024-08-24,17,0.15,横浜Ｆ・マリノス,セレッソ大阪,4,0,1612.831,1594.562,18.269000000000005,1.0068743959264295,1.0934214334379175,0.9579542546479779,1.1009380452858137,0.9514138590906963
J1_2024_273,2024,2024-08-24,17,0.15,湘南ベルマーレ,名古屋グランパス,0,1,1488.84,1577.122,-88.28200000000015,0.9674362477961868,1.0107278529252715,1.7578927758870708,0.9778147615771207,1.8170631707169735
J1_2024_274,2024,2024-08-25,17,0.15,アルビレックス新潟,ＦＣ町田ゼルビア,0,0,1545.846,1664.329,-118.48299999999995,0.9565414796192774,0.5876425641190447,1.86197970628963,0.5621044877696971,1.9465749744911587
J1_2024_275,2024,2024-08-25,17,0.15,サンフレッチェ広島,柏レイソル,2,0,1651.04,1500.123,150.91699999999992,1.0582259510987149,2.295302775754816,0.8332911461016571,2.4289489629326604,0.7874416094563579
